"Blood","Skin","Brain","Testis","Adipose Tissue","Muscle","Nerve","Blood Vessel","Heart","Lung","Esophagus","Kidney","Thyroid","Pituitary","Uterus","Pancreas","Vagina","Stomach","Adrenal Gland","Colon","Prostate","Spleen","Liver","Fallopian Tube","Ovary","Breast","Bladder","Cervix Uteri","Small Intestine","Salivary Gland"
"Calcitriol:47",3.481226444,9.99999999999999,0.0774976200000026,0.71311947999999,1.62424397,0.764312326999996,0.46541227,1.399824142,0.18274193000001,5.048594475,1.16461515,5.92004323,1.497543275,9.874783516,0.566891998000004,0.690557420000003,4.94007158300001,1.01386106,5.80154442999999,10,1.429979563,1.725871146,0.245761267999999,0.818111690000002,0.268560678000001,4.19446826,2.807871103,2.524309397,9.99999999999999,5.01123476
"dexamethasone:50",10,10,5.49671364,10,10,10,10,10,10,10,10,10,10,10,10,4.402533054,10,10,10,10,10,10,4.75985527,10,10,10,10,10,10,10
"everolimus:51",1.981466413,5.861584663,6.42243242,10,6.05699635,7.712878227,7.45222783,6.070045948,5.28152466,6.405892849,6.78196192,6.11778879,7.618876696,8.47441339499999,6.986742496,3.826494932,5.339693785,6.364003658,6.89323044,7.138198614,7.709730387,6.564596176,4.559212923,6.4558928,5.201941967,6.678822041,6.915325165,5.599118233,7.502036095,5.954916954
"Cyclosporine:53",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"methylprednisolone:54",6.519165516,9.529127598,5.49671364,4.09500027,9.99999999999999,10,10,9.420459747,4.36838818,9.541958809,6.61841154,2.70279932,8.644962311,8.877725124,6.923449516,2.976455688,7.945681095,4.709535599,3.02599466,3.700628638,6.544697762,5.595084667,4.75985527,6.58644819,5.095907211,10,6.734411716,7.282115936,5.538618088,5.745376587
"docetaxel:55",3.259106874,10,9.99999999999999,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8.515555382,10,10,10,10,10,10,10
"cyclosporine:56",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"Dexmedetomidine:60",0.0623733919999983,2.741013765,1.22963869999999,5.41671944,10,0.255605459000003,8.15998554,2.602161646,0.515974220000004,2.239341736,1.23677492000001,1.25160771999999,6.017980099,1.048812389,4.600313425,10,9.99999999999999,0.913578509999999,0.997452560000007,5.044525862,4.628032923,9.758530617,0.326055407999998,2.94190025,10,9.99999999999999,5.551623821,9.99999999999999,4.16848421100001,5.422550201
"Topotecan:61",10,10,10,10,10,8.798249245,10,10,9.65638065,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"Dexmedetomidine:63",0.0623733919999983,2.741013765,1.22963869999999,5.41671944,10,0.255605459000003,8.15998554,2.602161646,0.515974220000004,2.239341736,1.23677492000001,1.25160771999999,6.017980099,1.048812389,4.600313425,10,9.99999999999999,0.913578509999999,0.997452560000007,5.044525862,4.628032923,9.758530617,0.326055407999998,2.94190025,10,9.99999999999999,5.551623821,9.99999999999999,4.16848421100001,5.422550201
"Docetaxel:64",3.259106874,10,9.99999999999999,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8.515555382,10,10,10,10,10,10,10
"Sildenafil:65",1.551487684,1.562446892,1.00884831000001,3.72552347,6.32443428,1.37352895699999,5.90266562,10,1.44966769,7.692492485,10,0.865481529999995,6.609258652,1.92699193999999,4.250099659,3.093797684,7.628414392,2.468187809,2.32873952,7.926607609,10,4.674966812,0.371060698999996,9.19809055,2.123184443,5.730087042,5.362633705,8.618778229,4.781298161,2.135089874
"vorinostat:66",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"Pioglitazone:68",0.854906141999999,4.442565918,0.943804919999998,3.31889892,10,1.05971097899999,6.17432046,1.886435509,3.37892389,7.83619976,1.74451411,4.52354693,7.77050137499999,0.199517853999997,3.20663619000001,0.666075348999998,3.555224061,6.381391048,1.50120014,10,2.505087972,5.545911312,2.257158637,3.09982061000001,6.883687496,10,10,4.945686817,4.521011353,2.260562897
"Sunitinib:70",10,10,8.40805911999999,10,10,10,10,10,10,10,10,10,10,10,10,9.151558876,10,10,10,10,10,10,4.564376593,10,10,10,10,10,10,10
"prednisolone:72",6.519165516,9.529127598,5.49671364,4.09500027,9.99999999999999,10,10,9.420459747,4.36838818,9.541958809,6.61841154,2.70279932,8.644962311,8.877725124,6.923449516,2.976455688,7.945681095,4.709535599,3.02599466,3.700628638,6.544697762,5.595084667,4.75985527,6.58644819,5.095907211,10,6.734411716,7.282115936,5.538618088,5.745376587
"Gabapentin:75",0.253944576000007,2.796133518,10,10,5.07753181,10,3.08949268,5.174119949,5.47537708,10,3.70884371,3.51964605,5.968213558,8.63495063799999,3.72723496,3.816341639,2.217499495,2.444914103,5.41908264,2.795779109,3.241554379,3.107958913,0.226380453000004,3.33606756,3.520840883,2.695109367,5.25130033499999,2.623034716,1.346781492,2.046931744
"Lenalidomide:79",1.025086284,3.119722009,3.70113111,6.34493876,10,6.338674545,9.99999999999999,5.99543476099999,10,10,8.04398346,6.52386403,10,3.730526328,10,2.426759005,7.769799709,5.509750366,7.04789162000001,5.064837933,6.805960655,9.95505094500001,2.707627892,10,3.104855776,10,7.278105736,10,8.76734924300001,5.800363541
"Sunitinib:82",10,10,8.40805911999999,10,10,10,10,10,10,10,10,10,10,10,10,9.151558876,10,10,10,10,10,10,4.564376593,10,10,10,10,10,10,10
"Ropivacaine:83",-8.88178419700125e-16,-6.21724893790088e-15,1.77635683940025e-15,0.190577070000001,1.77635683940025e-15,-2.66453525910038e-15,-8.88178419700125e-16,0.00781925700000308,0.0464892699999986,-2.66453525910038e-15,8.88178419700125e-16,-1.77635683940025e-15,-8.88178419700125e-16,-8.88178419700125e-16,-1.77635683940025e-15,-8.88178419700125e-16,-4.44089209850063e-15,-8.88178419700125e-16,-2.66453525910038e-15,-2.66453525910038e-15,-1.77635683940025e-15,0.0072054529999992,8.88178419700125e-16,-6.21724893790088e-15,0,-2.66453525910038e-15,0,0.00981784199999947,-3.5527136788005e-15,-1.77635683940025e-15
